SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,1999,1999,PC,Percentage,0,Units,,,2.497794884,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2000,2000,PC,Percentage,0,Units,,,2.903277087,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2001,2001,PC,Percentage,0,Units,,,2.337874837,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2002,2002,PC,Percentage,0,Units,,,2.424436612,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2003,2003,PC,Percentage,0,Units,,,2.075078206,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2004,2004,PC,Percentage,0,Units,,,1.154356931,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2005,2005,PC,Percentage,0,Units,,,1.817814583,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2006,2006,PC,Percentage,0,Units,,,1.924221385,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2007,2007,PC,Percentage,0,Units,,,1.693265862,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2008,2008,PC,Percentage,0,Units,,,3.416267943,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2009,2009,PC,Percentage,0,Units,,,1.30470991,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2010,2010,PC,Percentage,0,Units,,,2.31092437,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2011,2011,PC,Percentage,0,Units,,,2.758682261,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2012,2012,PC,Percentage,0,Units,,,2.397914857,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2013,2013,PC,Percentage,0,Units,,,0.78907178,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2014,2014,PC,Percentage,0,Units,,,0.56402054,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2015,2015,PC,Percentage,0,Units,,,0.452034154,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2016,2016,PC,Percentage,0,Units,,,0.25,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2017,2017,PC,Percentage,0,Units,,,1.14713217,,
CPALTT01,Consumer prices: all items,DNK,Denmark,GP,Growth previous period,A,Annual,2018,2018,PC,Percentage,0,Units,,,0.813609467,,
